,URL,Search_Term
21,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-9,low income
22,https://forums.hardwarezone.com.sg/threads/income-tax-filing-2023.6879395/page-3,low income
23,https://forums.hardwarezone.com.sg/threads/no-need-begree-wage-disparity-between-degree-and-non-degree-holders-to-increase-nus-study.6887898/,low income
24,https://forums.hardwarezone.com.sg/threads/negative-people-club.6491048/page-2334,low income
25,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-18,low income
26,https://forums.hardwarezone.com.sg/threads/anyone-here-staying-in-2-room-bto.6285945/page-1508,low income
27,https://forums.hardwarezone.com.sg/threads/grab-go-jek-driver-lip-lai-part-15.6369969/page-428,low income
28,https://forums.hardwarezone.com.sg/threads/30s-50s-chitchat-club-part-66.6483530/page-21717,low income
29,https://forums.hardwarezone.com.sg/threads/i-have-discovered-the-reason-for-sinkie-lacklustre-drive.6883985/,low income
30,https://forums.hardwarezone.com.sg/threads/is-tadm-useless-complain-also-no-use.6738941/,low income
31,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-16,low income
32,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-11,low income
33,https://forums.hardwarezone.com.sg/threads/hdb-to-pilot-new-type-of-public-rental-housing-with-own-room-shared-facilities-for-low-income-singles.6881898/page-10,low income
34,https://forums.hardwarezone.com.sg/threads/hdb-is-affordable-not-sarcasm.6870477/page-15,low income
35,https://forums.hardwarezone.com.sg/threads/when-govt-says-household-median-income-9k-people-ask-is-it-true-but-yet-some-want-up-income-limit-for-cpf-topup-4-000-income-limit-too-low.6887247/,low income
0,https://forums.hardwarezone.com.sg/threads/st-forum-insurance-claims-denied-because-minor-conditions-not-disclosed.6561828/page-9,income inequality
1,https://forums.hardwarezone.com.sg/threads/would-u-believe-someone-to-be-a-high-earner-if-dont-even-own-a-car.6887251/page-4,income inequality
2,https://forums.hardwarezone.com.sg/threads/i-rather-take-100-full-cash-and-not-20-of-income-go-into-cpf.6876437/page-4,income inequality
3,https://forums.hardwarezone.com.sg/threads/general-s-reits-discussion-thread.4313167/page-293,income inequality
4,https://forums.hardwarezone.com.sg/threads/any-hope-for-a-divorced-pr-to-live-a-quiet-life-on-low-salary-in-sg.6875619/page-11,income inequality
5,https://forums.hardwarezone.com.sg/threads/which-direction-will-property-prices-go.6382009/page-745,income inequality
6,https://forums.hardwarezone.com.sg/threads/singapores-record-low-fertility-rate-cant-be-fixed-as-it-has-nothing-to-do-with-living-costs.6878279/page-11,income inequality
7,https://forums.hardwarezone.com.sg/threads/in-focus-some-singaporeans-arent-having-children-what-will-change-their-minds.6883579/page-3,income inequality
8,https://forums.hardwarezone.com.sg/threads/reality-of-being-a-middle-aged-single-in-sg.6881174/page-22,income inequality
9,https://forums.hardwarezone.com.sg/threads/singapore-savings-bonds.5006693/page-571,income inequality
10,https://forums.hardwarezone.com.sg/threads/many-hawkers-retiring-due-to-manpower-shortage.6886842/page-3,income inequality
11,https://forums.hardwarezone.com.sg/threads/renting-out-property-without-an-agent.5317694/page-2,income inequality
12,https://forums.hardwarezone.com.sg/threads/overheard-salary-conversation-between-fresh-grads.6887648/page-4,income inequality
13,https://forums.hardwarezone.com.sg/threads/incum-tax-filing-season-ish-it-possible-to-hit-80k-relief.6887899/,income inequality
14,https://forums.hardwarezone.com.sg/threads/sinkies-too-rich-so-many-cars-on-the-roads.6887481/page-3,income inequality
15,https://forums.hardwarezone.com.sg/threads/singapore-fertility-rate-hits-new-low-putting-focus-on-housing-prices.6876887/page-4,income inequality
16,https://forums.hardwarezone.com.sg/threads/has-wages-in-singapore-kept-pace-with-housing-prices.6876680/,income inequality
17,https://forums.hardwarezone.com.sg/threads/copenhagen-voted-best-work-life-balance-city-with-avg-annual-salary-of-s-60k.6878986/page-2,income inequality
18,https://forums.hardwarezone.com.sg/threads/free-advice-discussion-on-bank-mortgage-loan.3639010/page-483,income inequality
19,https://forums.hardwarezone.com.sg/threads/forum-insurance-claims-denied-because-minor-conditions-not-disclosed.6558736/page-4,income inequality
20,https://forums.hardwarezone.com.sg/threads/official-parkway-life-reit-sgx-c2pu.4177601/page-20,income inequality
21,https://forums.hardwarezone.com.sg/threads/boomer-and-pg-disagree-with-lawrence-wong.6876455/page-2,income inequality
22,https://forums.hardwarezone.com.sg/threads/household-incomes-rose-in-2022-income-inequality-fell.6870671/,income inequality
23,https://forums.hardwarezone.com.sg/threads/reality-of-being-a-middle-aged-single-in-sg.6881174/page-21,income inequality
24,https://forums.hardwarezone.com.sg/threads/free-advice-discussion-on-buy-sell-of-resale-flat-part-6-part-2.6361914/page-131,income inequality
25,https://forums.hardwarezone.com.sg/threads/starhill-global-reit-official-sgx-p40u.2766554/page-63,income inequality
26,https://forums.hardwarezone.com.sg/threads/cpf-life-if-nothing-guarantee.6883200/page-10,income inequality
27,https://forums.hardwarezone.com.sg/threads/which-direction-will-property-prices-go.6382009/page-746,income inequality
